Timestamp,Container,CPU_Perc,Mem_Usage,Mem_Perc
15:14:46,etl-scheduler-docker-compose-airflow-1,5.91%,1.356GiB / 7.654GiB,17.72%
15:14:46,etl-scheduler-docker-compose-postgres-1,2.05%,42.88MiB / 7.654GiB,0.55%
15:14:54,etl-scheduler-docker-compose-airflow-1,4.35%,1.356GiB / 7.654GiB,17.72%
15:14:54,etl-scheduler-docker-compose-postgres-1,0.95%,42.88MiB / 7.654GiB,0.55%
15:15:02,etl-scheduler-docker-compose-airflow-1,4.25%,1.356GiB / 7.654GiB,17.72%
15:15:02,etl-scheduler-docker-compose-postgres-1,1.31%,43.25MiB / 7.654GiB,0.55%
15:15:08,etl-scheduler-docker-compose-airflow-1,3.89%,1.356GiB / 7.654GiB,17.72%
15:15:08,etl-scheduler-docker-compose-postgres-1,1.24%,43.56MiB / 7.654GiB,0.56%
15:15:16,etl-scheduler-docker-compose-airflow-1,4.48%,1.356GiB / 7.654GiB,17.72%
15:15:16,etl-scheduler-docker-compose-postgres-1,1.71%,43.45MiB / 7.654GiB,0.55%
15:15:24,etl-scheduler-docker-compose-airflow-1,5.93%,1.356GiB / 7.654GiB,17.72%
15:15:24,etl-scheduler-docker-compose-postgres-1,1.32%,43.3MiB / 7.654GiB,0.55%
15:15:31,etl-scheduler-docker-compose-airflow-1,6.92%,1.357GiB / 7.654GiB,17.72%
15:15:31,etl-scheduler-docker-compose-postgres-1,1.22%,43.53MiB / 7.654GiB,0.56%
15:15:38,etl-scheduler-docker-compose-airflow-1,6.06%,1.357GiB / 7.654GiB,17.72%
15:15:38,etl-scheduler-docker-compose-postgres-1,1.71%,43.27MiB / 7.654GiB,0.55%
15:15:45,etl-scheduler-docker-compose-airflow-1,3.95%,1.357GiB / 7.654GiB,17.73%
15:15:45,etl-scheduler-docker-compose-postgres-1,0.61%,43.78MiB / 7.654GiB,0.56%
15:15:51,etl-scheduler-docker-compose-airflow-1,6.32%,1.357GiB / 7.654GiB,17.73%
15:15:51,etl-scheduler-docker-compose-postgres-1,1.59%,43.29MiB / 7.654GiB,0.55%
15:15:59,etl-scheduler-docker-compose-airflow-1,3.91%,1.357GiB / 7.654GiB,17.73%
15:15:59,etl-scheduler-docker-compose-postgres-1,1.24%,43.27MiB / 7.654GiB,0.55%
15:16:06,etl-scheduler-docker-compose-airflow-1,4.60%,1.357GiB / 7.654GiB,17.73%
15:16:06,etl-scheduler-docker-compose-postgres-1,1.15%,43.74MiB / 7.654GiB,0.56%
15:16:12,etl-scheduler-docker-compose-airflow-1,4.90%,1.357GiB / 7.654GiB,17.73%
15:16:12,etl-scheduler-docker-compose-postgres-1,1.39%,43.77MiB / 7.654GiB,0.56%
15:16:19,etl-scheduler-docker-compose-airflow-1,4.47%,1.357GiB / 7.654GiB,17.73%
15:16:19,etl-scheduler-docker-compose-postgres-1,1.46%,43.77MiB / 7.654GiB,0.56%
15:16:27,etl-scheduler-docker-compose-airflow-1,4.86%,1.357GiB / 7.654GiB,17.73%
15:16:27,etl-scheduler-docker-compose-postgres-1,1.95%,43.9MiB / 7.654GiB,0.56%
15:16:33,etl-scheduler-docker-compose-airflow-1,8.56%,1.357GiB / 7.654GiB,17.73%
15:16:33,etl-scheduler-docker-compose-postgres-1,1.42%,43.73MiB / 7.654GiB,0.56%
15:16:41,etl-scheduler-docker-compose-airflow-1,3.44%,1.357GiB / 7.654GiB,17.73%
15:16:41,etl-scheduler-docker-compose-postgres-1,1.23%,43.74MiB / 7.654GiB,0.56%
15:16:49,etl-scheduler-docker-compose-airflow-1,4.98%,1.357GiB / 7.654GiB,17.73%
15:16:49,etl-scheduler-docker-compose-postgres-1,1.35%,43.75MiB / 7.654GiB,0.56%
15:16:56,etl-scheduler-docker-compose-airflow-1,5.13%,1.357GiB / 7.654GiB,17.73%
15:16:56,etl-scheduler-docker-compose-postgres-1,1.35%,43.72MiB / 7.654GiB,0.56%
15:17:04,etl-scheduler-docker-compose-airflow-1,11.41%,1.357GiB / 7.654GiB,17.73%
15:17:04,etl-scheduler-docker-compose-postgres-1,3.97%,43.82MiB / 7.654GiB,0.56%
15:17:12,etl-scheduler-docker-compose-airflow-1,7.75%,1.357GiB / 7.654GiB,17.73%
15:17:12,etl-scheduler-docker-compose-postgres-1,1.06%,43.8MiB / 7.654GiB,0.56%
15:17:20,etl-scheduler-docker-compose-airflow-1,6.15%,1.357GiB / 7.654GiB,17.73%
15:17:20,etl-scheduler-docker-compose-postgres-1,1.04%,43.83MiB / 7.654GiB,0.56%
15:17:26,etl-scheduler-docker-compose-airflow-1,7.12%,1.357GiB / 7.654GiB,17.73%
15:17:26,etl-scheduler-docker-compose-postgres-1,1.67%,43.81MiB / 7.654GiB,0.56%
15:17:34,etl-scheduler-docker-compose-airflow-1,6.07%,1.357GiB / 7.654GiB,17.74%
15:17:34,etl-scheduler-docker-compose-postgres-1,1.49%,43.84MiB / 7.654GiB,0.56%
15:17:42,etl-scheduler-docker-compose-airflow-1,5.46%,1.357GiB / 7.654GiB,17.74%
15:17:42,etl-scheduler-docker-compose-postgres-1,0.76%,44.09MiB / 7.654GiB,0.56%
15:17:49,etl-scheduler-docker-compose-airflow-1,3.74%,1.358GiB / 7.654GiB,17.74%
15:17:49,etl-scheduler-docker-compose-postgres-1,0.93%,43.81MiB / 7.654GiB,0.56%
15:17:57,etl-scheduler-docker-compose-airflow-1,4.86%,1.358GiB / 7.654GiB,17.74%
15:17:57,etl-scheduler-docker-compose-postgres-1,0.86%,43.97MiB / 7.654GiB,0.56%
15:18:04,etl-scheduler-docker-compose-airflow-1,3.61%,1.358GiB / 7.654GiB,17.74%
15:18:04,etl-scheduler-docker-compose-postgres-1,0.94%,43.85MiB / 7.654GiB,0.56%
15:18:11,etl-scheduler-docker-compose-airflow-1,4.19%,1.358GiB / 7.654GiB,17.74%
15:18:11,etl-scheduler-docker-compose-postgres-1,2.09%,43.82MiB / 7.654GiB,0.56%
15:18:19,etl-scheduler-docker-compose-airflow-1,8.07%,1.358GiB / 7.654GiB,17.74%
15:18:19,etl-scheduler-docker-compose-postgres-1,1.37%,43.82MiB / 7.654GiB,0.56%
15:18:27,etl-scheduler-docker-compose-airflow-1,8.27%,1.358GiB / 7.654GiB,17.74%
15:18:27,etl-scheduler-docker-compose-postgres-1,0.79%,43.83MiB / 7.654GiB,0.56%
15:18:35,etl-scheduler-docker-compose-airflow-1,5.44%,1.358GiB / 7.654GiB,17.74%
15:18:35,etl-scheduler-docker-compose-postgres-1,1.05%,44.06MiB / 7.654GiB,0.56%
15:18:42,etl-scheduler-docker-compose-airflow-1,7.39%,1.358GiB / 7.654GiB,17.74%
15:18:42,etl-scheduler-docker-compose-postgres-1,2.30%,43.81MiB / 7.654GiB,0.56%
15:18:50,etl-scheduler-docker-compose-airflow-1,5.38%,1.358GiB / 7.654GiB,17.74%
15:18:50,etl-scheduler-docker-compose-postgres-1,1.50%,43.82MiB / 7.654GiB,0.56%
15:18:58,etl-scheduler-docker-compose-airflow-1,3.55%,1.363GiB / 7.654GiB,17.80%
15:18:58,etl-scheduler-docker-compose-postgres-1,1.36%,43.95MiB / 7.654GiB,0.56%
15:19:04,etl-scheduler-docker-compose-airflow-1,8.87%,1.366GiB / 7.654GiB,17.85%
15:19:04,etl-scheduler-docker-compose-postgres-1,2.33%,44.23MiB / 7.654GiB,0.56%
15:19:12,etl-scheduler-docker-compose-airflow-1,3.52%,1.367GiB / 7.654GiB,17.87%
15:19:12,etl-scheduler-docker-compose-postgres-1,2.68%,44MiB / 7.654GiB,0.56%
15:19:19,etl-scheduler-docker-compose-airflow-1,7.76%,1.367GiB / 7.654GiB,17.87%
15:19:19,etl-scheduler-docker-compose-postgres-1,3.12%,43.99MiB / 7.654GiB,0.56%
15:19:26,etl-scheduler-docker-compose-airflow-1,5.24%,1.367GiB / 7.654GiB,17.87%
15:19:26,etl-scheduler-docker-compose-postgres-1,1.55%,44.28MiB / 7.654GiB,0.56%
15:19:34,etl-scheduler-docker-compose-airflow-1,6.59%,1.368GiB / 7.654GiB,17.88%
15:19:34,etl-scheduler-docker-compose-postgres-1,1.85%,44.29MiB / 7.654GiB,0.57%
15:19:41,etl-scheduler-docker-compose-airflow-1,2.57%,1.368GiB / 7.654GiB,17.88%
15:19:41,etl-scheduler-docker-compose-postgres-1,0.74%,44.03MiB / 7.654GiB,0.56%
15:19:48,etl-scheduler-docker-compose-airflow-1,5.18%,1.368GiB / 7.654GiB,17.88%
15:19:48,etl-scheduler-docker-compose-postgres-1,1.77%,44.17MiB / 7.654GiB,0.56%
15:19:56,etl-scheduler-docker-compose-airflow-1,9.43%,1.368GiB / 7.654GiB,17.88%
15:19:56,etl-scheduler-docker-compose-postgres-1,1.07%,44.28MiB / 7.654GiB,0.56%
15:20:04,etl-scheduler-docker-compose-airflow-1,5.95%,1.368GiB / 7.654GiB,17.88%
15:20:04,etl-scheduler-docker-compose-postgres-1,1.21%,44.04MiB / 7.654GiB,0.56%
15:20:10,etl-scheduler-docker-compose-airflow-1,7.87%,1.368GiB / 7.654GiB,17.88%
15:20:10,etl-scheduler-docker-compose-postgres-1,1.61%,44.03MiB / 7.654GiB,0.56%
15:20:18,etl-scheduler-docker-compose-airflow-1,2.61%,1.369GiB / 7.654GiB,17.88%
15:20:18,etl-scheduler-docker-compose-postgres-1,1.84%,44.19MiB / 7.654GiB,0.56%
15:20:26,etl-scheduler-docker-compose-airflow-1,7.87%,1.368GiB / 7.654GiB,17.88%
15:20:26,etl-scheduler-docker-compose-postgres-1,2.61%,44.04MiB / 7.654GiB,0.56%
