Timestamp,Container,CPU_Perc,Mem_Usage,Mem_Perc
15:05:17,cronicle_etl,0.50%,51.32MiB / 7.654GiB,0.65%
15:05:24,cronicle_etl,0.42%,51.14MiB / 7.654GiB,0.65%
15:05:30,cronicle_etl,0.50%,51.01MiB / 7.654GiB,0.65%
15:05:37,cronicle_etl,0.58%,51.11MiB / 7.654GiB,0.65%
15:05:44,cronicle_etl,0.64%,50.5MiB / 7.654GiB,0.64%
15:05:50,cronicle_etl,0.44%,50.57MiB / 7.654GiB,0.65%
15:05:57,cronicle_etl,0.74%,50.4MiB / 7.654GiB,0.64%
15:06:03,cronicle_etl,0.65%,50.8MiB / 7.654GiB,0.65%
15:06:10,cronicle_etl,1.20%,50.63MiB / 7.654GiB,0.65%
15:06:17,cronicle_etl,0.64%,50.7MiB / 7.654GiB,0.65%
15:06:23,cronicle_etl,0.56%,51.01MiB / 7.654GiB,0.65%
15:06:30,cronicle_etl,0.56%,50.9MiB / 7.654GiB,0.65%
15:06:37,cronicle_etl,0.51%,51.21MiB / 7.654GiB,0.65%
15:06:43,cronicle_etl,0.58%,51.28MiB / 7.654GiB,0.65%
15:06:50,cronicle_etl,0.43%,51.35MiB / 7.654GiB,0.66%
15:06:56,cronicle_etl,0.53%,51.43MiB / 7.654GiB,0.66%
15:07:03,cronicle_etl,0.53%,50.41MiB / 7.654GiB,0.64%
15:07:10,cronicle_etl,0.67%,50.48MiB / 7.654GiB,0.64%
15:07:16,cronicle_etl,0.51%,50.79MiB / 7.654GiB,0.65%
15:07:23,cronicle_etl,0.46%,51.11MiB / 7.654GiB,0.65%
15:07:30,cronicle_etl,0.51%,51MiB / 7.654GiB,0.65%
15:07:36,cronicle_etl,0.63%,51.07MiB / 7.654GiB,0.65%
15:07:43,cronicle_etl,0.58%,51.14MiB / 7.654GiB,0.65%
15:07:49,cronicle_etl,0.53%,50.97MiB / 7.654GiB,0.65%
15:07:56,cronicle_etl,0.40%,51.28MiB / 7.654GiB,0.65%
15:08:03,cronicle_etl,0.50%,51.45MiB / 7.654GiB,0.66%
15:08:09,cronicle_etl,0.71%,50.63MiB / 7.654GiB,0.65%
15:08:16,cronicle_etl,0.50%,50.7MiB / 7.654GiB,0.65%
15:08:23,cronicle_etl,0.70%,50.78MiB / 7.654GiB,0.65%
15:08:29,cronicle_etl,0.88%,50.7MiB / 7.654GiB,0.65%
15:08:36,cronicle_etl,0.79%,50.77MiB / 7.654GiB,0.65%
15:08:42,cronicle_etl,0.63%,50.84MiB / 7.654GiB,0.65%
15:08:49,cronicle_etl,0.48%,50.91MiB / 7.654GiB,0.65%
15:08:56,cronicle_etl,0.47%,50.98MiB / 7.654GiB,0.65%
15:09:02,cronicle_etl,0.57%,51.12MiB / 7.654GiB,0.65%
15:09:09,cronicle_etl,0.67%,51.43MiB / 7.654GiB,0.66%
15:09:16,cronicle_etl,0.51%,51.5MiB / 7.654GiB,0.66%
15:09:22,cronicle_etl,2.27%,50.84MiB / 7.654GiB,0.65%
15:09:29,cronicle_etl,0.45%,50.59MiB / 7.654GiB,0.65%
15:09:36,cronicle_etl,0.61%,50.89MiB / 7.654GiB,0.65%
15:09:42,cronicle_etl,0.51%,50.96MiB / 7.654GiB,0.65%
15:09:49,cronicle_etl,0.53%,50.79MiB / 7.654GiB,0.65%
15:09:55,cronicle_etl,0.61%,51.11MiB / 7.654GiB,0.65%
15:10:02,cronicle_etl,0.85%,51.24MiB / 7.654GiB,0.65%
15:10:09,cronicle_etl,0.57%,51.31MiB / 7.654GiB,0.65%
15:10:15,cronicle_etl,0.50%,51.38MiB / 7.654GiB,0.66%
15:10:22,cronicle_etl,0.46%,51.44MiB / 7.654GiB,0.66%
15:10:29,cronicle_etl,0.69%,51.57MiB / 7.654GiB,0.66%
15:10:35,cronicle_etl,0.86%,51.64MiB / 7.654GiB,0.66%
15:10:42,cronicle_etl,0.47%,50.83MiB / 7.654GiB,0.65%
15:10:48,cronicle_etl,0.69%,50.66MiB / 7.654GiB,0.65%
15:10:55,cronicle_etl,0.61%,50.96MiB / 7.654GiB,0.65%
15:11:02,cronicle_etl,0.85%,50.87MiB / 7.654GiB,0.65%
15:11:08,cronicle_etl,1.03%,51.18MiB / 7.654GiB,0.65%
15:11:15,cronicle_etl,0.70%,51.24MiB / 7.654GiB,0.65%
15:11:22,cronicle_etl,0.37%,51.07MiB / 7.654GiB,0.65%
15:11:28,cronicle_etl,0.67%,51.2MiB / 7.654GiB,0.65%
15:11:35,cronicle_etl,0.99%,51.5MiB / 7.654GiB,0.66%
15:11:42,cronicle_etl,0.57%,51.57MiB / 7.654GiB,0.66%
15:11:48,cronicle_etl,0.49%,51.4MiB / 7.654GiB,0.66%
