Timestamp,Container,CPU_Perc,Mem_Usage,Mem_Perc
15:27:22,etl-scheduler-docker-compose-kestra-1,25.53%,1.06GiB / 7.654GiB,13.85%
15:27:28,etl-scheduler-docker-compose-kestra-1,26.77%,1.099GiB / 7.654GiB,14.35%
15:27:35,etl-scheduler-docker-compose-kestra-1,24.83%,1.136GiB / 7.654GiB,14.84%
15:27:42,etl-scheduler-docker-compose-kestra-1,11.22%,1.154GiB / 7.654GiB,15.08%
15:27:48,etl-scheduler-docker-compose-kestra-1,9.51%,1.173GiB / 7.654GiB,15.33%
15:27:55,etl-scheduler-docker-compose-kestra-1,28.22%,1.201GiB / 7.654GiB,15.69%
15:28:01,etl-scheduler-docker-compose-kestra-1,54.90%,1.237GiB / 7.654GiB,16.16%
15:28:08,etl-scheduler-docker-compose-kestra-1,5.31%,1.237GiB / 7.654GiB,16.16%
15:28:15,etl-scheduler-docker-compose-kestra-1,6.72%,1.238GiB / 7.654GiB,16.17%
15:28:21,etl-scheduler-docker-compose-kestra-1,8.26%,1.238GiB / 7.654GiB,16.18%
15:28:28,etl-scheduler-docker-compose-kestra-1,13.64%,1.239GiB / 7.654GiB,16.19%
15:28:35,etl-scheduler-docker-compose-kestra-1,12.36%,1.243GiB / 7.654GiB,16.25%
15:28:41,etl-scheduler-docker-compose-kestra-1,5.02%,1.245GiB / 7.654GiB,16.27%
15:28:48,etl-scheduler-docker-compose-kestra-1,5.51%,1.246GiB / 7.654GiB,16.28%
15:28:54,etl-scheduler-docker-compose-kestra-1,6.22%,1.246GiB / 7.654GiB,16.28%
15:29:01,etl-scheduler-docker-compose-kestra-1,10.39%,1.249GiB / 7.654GiB,16.32%
15:29:08,etl-scheduler-docker-compose-kestra-1,11.76%,1.252GiB / 7.654GiB,16.36%
15:29:14,etl-scheduler-docker-compose-kestra-1,8.91%,1.253GiB / 7.654GiB,16.37%
15:29:21,etl-scheduler-docker-compose-kestra-1,6.25%,1.252GiB / 7.654GiB,16.36%
15:29:28,etl-scheduler-docker-compose-kestra-1,4.50%,1.253GiB / 7.654GiB,16.37%
15:29:34,etl-scheduler-docker-compose-kestra-1,43.55%,1.253GiB / 7.654GiB,16.37%
15:29:41,etl-scheduler-docker-compose-kestra-1,9.60%,1.253GiB / 7.654GiB,16.37%
15:29:48,etl-scheduler-docker-compose-kestra-1,6.94%,1.253GiB / 7.654GiB,16.37%
15:29:54,etl-scheduler-docker-compose-kestra-1,7.10%,1.253GiB / 7.654GiB,16.37%
15:30:01,etl-scheduler-docker-compose-kestra-1,19.61%,1.255GiB / 7.654GiB,16.40%
15:30:08,etl-scheduler-docker-compose-kestra-1,13.56%,1.256GiB / 7.654GiB,16.41%
15:30:14,etl-scheduler-docker-compose-kestra-1,7.36%,1.257GiB / 7.654GiB,16.42%
15:30:21,etl-scheduler-docker-compose-kestra-1,4.65%,1.257GiB / 7.654GiB,16.42%
15:30:27,etl-scheduler-docker-compose-kestra-1,5.20%,1.261GiB / 7.654GiB,16.47%
15:30:34,etl-scheduler-docker-compose-kestra-1,10.75%,1.261GiB / 7.654GiB,16.48%
15:30:41,etl-scheduler-docker-compose-kestra-1,9.31%,1.262GiB / 7.654GiB,16.49%
15:30:47,etl-scheduler-docker-compose-kestra-1,4.52%,1.262GiB / 7.654GiB,16.49%
15:30:54,etl-scheduler-docker-compose-kestra-1,7.49%,1.263GiB / 7.654GiB,16.50%
15:31:01,etl-scheduler-docker-compose-kestra-1,6.00%,1.263GiB / 7.654GiB,16.50%
15:31:07,etl-scheduler-docker-compose-kestra-1,14.18%,1.253GiB / 7.654GiB,16.38%
15:31:14,etl-scheduler-docker-compose-kestra-1,7.39%,1.253GiB / 7.654GiB,16.37%
15:31:21,etl-scheduler-docker-compose-kestra-1,15.38%,1.254GiB / 7.654GiB,16.39%
