Timestamp,Container,CPU_Perc,Mem_Usage,Mem_Perc
14:56:13,supervisor_etl,0.15%,19.26MiB / 7.654GiB,0.25%
14:56:19,supervisor_etl,0.10%,19.26MiB / 7.654GiB,0.25%
14:56:26,supervisor_etl,0.05%,19.26MiB / 7.654GiB,0.25%
14:56:33,supervisor_etl,0.02%,19.26MiB / 7.654GiB,0.25%
14:56:39,supervisor_etl,0.52%,19.26MiB / 7.654GiB,0.25%
14:56:46,supervisor_etl,0.21%,19.26MiB / 7.654GiB,0.25%
14:56:53,supervisor_etl,0.03%,19.26MiB / 7.654GiB,0.25%
14:56:59,supervisor_etl,0.01%,19.26MiB / 7.654GiB,0.25%
14:57:06,supervisor_etl,0.01%,19.26MiB / 7.654GiB,0.25%
14:57:13,supervisor_etl,0.03%,19.26MiB / 7.654GiB,0.25%
14:57:19,supervisor_etl,0.03%,19.26MiB / 7.654GiB,0.25%
14:57:26,supervisor_etl,0.05%,19.26MiB / 7.654GiB,0.25%
14:57:32,supervisor_etl,0.02%,19.26MiB / 7.654GiB,0.25%
14:57:39,supervisor_etl,0.02%,19.26MiB / 7.654GiB,0.25%
14:57:46,supervisor_etl,0.03%,19.26MiB / 7.654GiB,0.25%
14:57:52,supervisor_etl,0.02%,19.26MiB / 7.654GiB,0.25%
14:57:59,supervisor_etl,0.02%,19.26MiB / 7.654GiB,0.25%
14:58:06,supervisor_etl,0.05%,19.26MiB / 7.654GiB,0.25%
14:58:12,supervisor_etl,0.26%,19.26MiB / 7.654GiB,0.25%
14:58:19,supervisor_etl,0.18%,19.26MiB / 7.654GiB,0.25%
14:58:25,supervisor_etl,0.04%,19.61MiB / 7.654GiB,0.25%
14:58:32,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
14:58:39,supervisor_etl,0.03%,19.61MiB / 7.654GiB,0.25%
14:58:45,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
14:58:52,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
14:58:59,supervisor_etl,0.04%,19.61MiB / 7.654GiB,0.25%
14:59:05,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
14:59:12,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
14:59:18,supervisor_etl,0.23%,19.61MiB / 7.654GiB,0.25%
14:59:25,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
14:59:32,supervisor_etl,0.05%,19.61MiB / 7.654GiB,0.25%
14:59:38,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
14:59:45,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
14:59:51,supervisor_etl,0.41%,19.61MiB / 7.654GiB,0.25%
14:59:58,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:00:05,supervisor_etl,0.04%,19.61MiB / 7.654GiB,0.25%
15:00:11,supervisor_etl,0.19%,19.61MiB / 7.654GiB,0.25%
15:00:18,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:00:25,supervisor_etl,0.03%,19.61MiB / 7.654GiB,0.25%
15:00:31,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:00:38,supervisor_etl,0.22%,19.61MiB / 7.654GiB,0.25%
15:00:44,supervisor_etl,0.25%,19.61MiB / 7.654GiB,0.25%
15:00:51,supervisor_etl,0.05%,19.61MiB / 7.654GiB,0.25%
15:00:58,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:01:04,supervisor_etl,0.11%,19.61MiB / 7.654GiB,0.25%
15:01:11,supervisor_etl,0.03%,19.61MiB / 7.654GiB,0.25%
15:01:18,supervisor_etl,0.03%,19.61MiB / 7.654GiB,0.25%
15:01:24,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
15:01:31,supervisor_etl,0.20%,19.61MiB / 7.654GiB,0.25%
15:01:37,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:01:44,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:01:51,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
15:01:57,supervisor_etl,0.08%,19.61MiB / 7.654GiB,0.25%
15:02:04,supervisor_etl,0.16%,19.61MiB / 7.654GiB,0.25%
15:02:10,supervisor_etl,0.19%,19.61MiB / 7.654GiB,0.25%
15:02:17,supervisor_etl,0.01%,19.61MiB / 7.654GiB,0.25%
15:02:24,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:02:30,supervisor_etl,0.02%,19.61MiB / 7.654GiB,0.25%
15:02:37,supervisor_etl,0.03%,19.61MiB / 7.654GiB,0.25%
15:02:44,supervisor_etl,0.15%,19.61MiB / 7.654GiB,0.25%
